Data,A/V,Estado,Valor de Entrada,Caução
15/08/24,Aluguel,AM,,500
15/08/24,Aluguel,RJ,,500
15/08/24,Aluguel,PR,,500
15/08/24,Aluguel,PE,,500
15/08/24,Aluguel,SC,,700
15/08/24,Aluguel,MG,,500
15/08/24,Aluguel,PR,,700
15/08/24,Aluguel,PR,,700
15/08/24,Aluguel,BA,,500
15/08/24,Aluguel,AL,,700
15/08/24,Aluguel,ES,,500
15/08/24,Aluguel,PR,,700
15/08/24,Aluguel,PR,,500
15/08/24,Aluguel,SC,,500
15/08/24,Aluguel,SC,,500
15/08/24,Aluguel,SC,,500
15/08/24,Aluguel,PE,,700
15/08/24,Aluguel,SC,,500
15/08/24,Aluguel,PE,,500
15/08/24,Aluguel,PR,,700
15/08/24,Aluguel,SC,,500
15/08/24,Aluguel,BA,,700
15/08/24,Aluguel,PR,,700
15/08/24,Aluguel,AL,,500
15/08/24,Aluguel,PE,,500
15/08/24,Aluguel,AL,,500
15/08/24,Aluguel,PA,,500
15/08/24,Aluguel,AL,,500
15/08/24,Aluguel,ES,,700
15/08/24,Aluguel,AM,,500
15/08/24,Aluguel,PB,,700
15/08/24,Aluguel,MA,,700
15/08/24,Aluguel,TO,,700
15/08/24,Aluguel,RN,,700
16/08/24,Aluguel,DF,,500
16/08/24,Aluguel,MS,,700
16/08/24,Aluguel,MG,,700
16/08/24,Aluguel,ES,,700
16/08/24,Aluguel,SP,,700
16/08/24,Aluguel,MG,,500
16/08/24,Aluguel,ES,,500
16/08/24,Aluguel,MT,,700
16/08/24,Aluguel,MS,,500
16/08/24,Aluguel,PR,,500
16/08/24,Aluguel,DF,,500
16/08/24,Aluguel,MS,,700
16/08/24,Aluguel,MG,,700
16/08/24,Aluguel,ES,,700
16/08/24,Aluguel,SP,,700
16/08/24,Aluguel,MG,,500
16/08/24,Aluguel,AP,,700
16/08/24,Aluguel,PE,,500
16/08/24,Aluguel,SC,,700
16/08/24,Aluguel,MG,,500
16/08/24,Aluguel,PR,,700
16/08/24,Aluguel,PR,,700
16/08/24,Aluguel,MG,,500
16/08/24,Aluguel,AL,,700
16/08/24,Aluguel,ES,,500
16/08/24,Aluguel,PR,,500
16/08/24,Aluguel,BA,,700
16/08/24,Aluguel,AL,,500
16/08/24,Aluguel,ES,,700
16/08/24,Aluguel,PE,,700
16/08/24,Aluguel,PE,,700
16/08/24,Aluguel,PE,,700
16/08/24,Aluguel,SP,,500
16/08/24,Aluguel,PE,,700
16/08/24,Aluguel,PR,,700
16/08/24,Aluguel,SC,,500
16/08/24,Aluguel,PE,,700
16/08/24,Aluguel,PE,,500
16/08/24,Aluguel,SC,,500
16/08/24,Aluguel,BA,,700
16/08/24,Aluguel,PR,,700
16/08/24,Aluguel,AL,,500
16/08/24,Aluguel,AM,,700
16/08/24,Aluguel,MG,,700
16/08/24,Aluguel,PR,,500
16/08/24,Aluguel,AC,,700
16/08/24,Aluguel,SC,,700
16/08/24,Aluguel,CE,,700
17/08/24,Aluguel,TO,,500
17/08/24,Aluguel,DF,,700
17/08/24,Aluguel,MG,,500
17/08/24,Aluguel,RS,,700
17/08/24,Aluguel,BA,,500
17/08/24,Aluguel,PR,,700
17/08/24,Aluguel,SC,,500
17/08/24,Aluguel,GO,,700
17/08/24,Aluguel,PE,,500
17/08/24,Aluguel,CE,,700
17/08/24,Aluguel,ES,,500
17/08/24,Aluguel,MT,,700
17/08/24,Aluguel,MS,,500
17/08/24,Aluguel,AM,,700
17/08/24,Aluguel,AC,,500
17/08/24,Aluguel,PE,,500
17/08/24,Aluguel,SC,,700
17/08/24,Aluguel,MG,,500
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,RJ,,700
17/08/24,Aluguel,SC,,500
17/08/24,Aluguel,MG,,500
17/08/24,Aluguel,RJ,,700
17/08/24,Aluguel,ES,,500
17/08/24,Aluguel,PR,,700
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,RS,,700
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,SC,,700
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,SC,,500
17/08/24,Aluguel,PE,,700
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,PR,,700
17/08/24,Aluguel,PE,,700
17/08/24,Aluguel,SC,,500
17/08/24,Aluguel,BA,,700
17/08/24,Aluguel,RS,,600
17/08/24,Aluguel,TO,,500
17/08/24,Aluguel,PR,,500
17/08/24,Aluguel,SC,,700
17/08/24,Aluguel,AL,,500
17/08/24,Aluguel,RR,,500
17/08/24,Aluguel,ES,,500
17/08/24,Aluguel,SP,,500
17/08/24,Aluguel,PI,,700
19/08/24,Aluguel,DF,,500
19/08/24,Aluguel,MS,,700
19/08/24,Aluguel,MG,,700
19/08/24,Aluguel,AM,,500
19/08/24,Aluguel,BA,,500
19/08/24,Aluguel,PE,,700
19/08/24,Aluguel,SC,,700
19/08/24,Aluguel,GO,,500
19/08/24,Aluguel,RS,,700
19/08/24,Aluguel,MG,,500
19/08/24,Aluguel,BA,,700
19/08/24,Aluguel,RS,,700
19/08/24,Aluguel,SP,,500
19/08/24,Aluguel,SP,,500
19/08/24,Aluguel,SP,,500
19/08/24,Aluguel,AL,,700
19/08/24,Aluguel,SP,,500
19/08/24,Aluguel,AL,,500
19/08/24,Aluguel,BA,,700
19/08/24,Aluguel,PE,,500
19/08/24,Aluguel,SC,,500
19/08/24,Aluguel,PR,,700
19/08/24,Aluguel,AL,,500
19/08/24,Aluguel,PR,,700
19/08/24,Aluguel,PR,,700
19/08/24,Aluguel,PI,,500
